idPlayer,namePlayer,heightInches
203951,Keith Appling,73
202357,Nemanja Bjelica,81
1626164,Devin Booker,77
1626148,Anthony Brown,79
1626161,Willie Cauley-Stein,84
1626176,Rakeem Christmas,81
1626262,Coty Clarke,79
1626192,Pat Connaughton,77
1626183,Branden Dawson,78
1626214,Bryce Dejean-Jones,78
1626155,Sam Dekker,80
1626251,Duje Dukan,81
204067,Jarell Eddie,79
1626245,Cristiano Felicio,83
1626170,Jerian Grant,76
1626149,Montrezl Harrell,79
1626151,Aaron Harrison,78
1626209,Mario Hezonja,80
1626199,Darrun Hilliard,78
1626178,Rondae Hollis-Jefferson,78
1626158,Richaun Holmes,82
1626273,Marcelo Huertas,75
203962,Josh Huestis,79
1626154,RJ Hunter,77
203996,Damien Inglis,80
1626169,Stanley Johnson,78
203999,Nikola Jokic,83
1626145,Tyus Jones,72
1626163,Frank Kaminsky,84
201619,Sasha Kaun,83
1626172,Kevon Looney,81
1626168,Trey Lyles,81
1626246,Boban Marjanovic,87
1626185,Jarell Martin,82
204456,T.J. McConnell,73
1626191,Chris McCullough,81
203895,Jordan McRae,77
1626257,Salah Mejri,86
1626175,Jordan Mickey,80
1626242,Luis Montero,79
1626144,Emmanuel Mudiay,75
204098,Xavier Munford,76
1626204,Larry Nance Jr.,79
203526,Raul Neto,74
1626266,JJ O'Brien,79
1626143,Jahlil Okafor,82
1626162,Kelly Oubre Jr.,78
203934,Lamar Patterson,77
1626166,Cameron Payne,73
202353,Tibor Pleiss,87
1626171,Bobby Portis,82
204001,Kristaps Porzingis,87
1626181,Norman Powell,75
203186,Willie Reed,83
1626196,Josh Richardson,77
1626179,Terry Rozier,73
1626156,D'Angelo Russell,76
203613,Jonathon Simmons,78
1627293,Alex Stepheson,82
204002,Edy Tavares,87
1626253,Axel Toupane,79
1626157,Karl-Anthony Towns,83
1626167,Myles Turner,83
1626173,Rashad Vaughn,78
1627362,Briante Weber,74
1626210,Alan Williams,80
1626159,Justise Winslow,78
1626174,Christian Wood,81
1626153,Delon Wright,77
1626202,Joe Young,74
203518,Alex Abrines,78
1627758,Ron Baker,76
1627735,Wade Baldwin IV,76
1627736,Malik Beasley,76
1627761,DeAndre' Bembry,77
1627733,Dragan Bender,84
1627791,Ben Bentil,81
202722,Davis Bertans,82
1627762,Joel Bolomboy,81
1627763,Malcolm Brogdon,77
1627759,Jaylen Brown,78
1627852,Nicolas Brussino,80
1627737,Marquese Chriss,81
203902,Semaj Christon,75
1626188,Quinn Cook,73
1627738,Deyonta Davis,83
1627098,Malcolm Delaney,75
1627767,Cheick Diallo,80
1627739,Kris Dunn,75
1627740,Henry Ellenson,82
203954,Joel Embiid,84
1627770,Kay Felder,69
1627812,Yogi Ferrell,72
1627827,Dorian Finney-Smith,79
1627854,Bryn Forbes,74
1627868,Patricio Garino,78
1627771,Michael Gbinije,79
1627875,Marcus Georges-Hunt,77
1626780,Jonathan Gibson,74
1626203,Treveon Graham,77
1627773,AJ Hammons,84
1626150,Andrew Harrison,78
1627823,Juancho Hernangomez,81
1626195,Willy Hernangomez,83
1627741,Buddy Hield,76
1627863,Danuel House Jr.,78
1627742,Brandon Ingram,80
1627743,Demetrius Jackson,73
203510,Pierre Jackson,70
1627744,Brice Johnson,82
1627745,Damian Jones,83
1627884,Derrick Jones Jr.,78
1627851,Mindaugas Kuzminskas,81
1627746,Skal Labissiere,82
1627879,Nicolas Laprovittola,76
1627774,Jake Layman,80
1627747,Caris LeVert,78
1627848,Shawn Long,81
1627789,Timothe Luwawu-Cabarrot,79
